method,index,dataset,category,source,image_path,expected,anomaly_score,threshold,threshold_source,prediction,correct
SPADE,0,mvtec_ad,bottle,good,E:\rules\Rules\mvtec_anomaly_detection\bottle\test\good\003.png,normal,2.92882085,2.92882085,target_f1,normal,true
SPADE,1,mvtec_ad,bottle,broken_large,E:\rules\Rules\mvtec_anomaly_detection\bottle\test\broken_large\000.png,abnormal,9.07803917,2.92882085,target_f1,abnormal,true
SPADE,2,mvtec_ad,bottle,broken_small,E:\rules\Rules\mvtec_anomaly_detection\bottle\test\broken_small\008.png,abnormal,5.69188166,2.92882085,target_f1,abnormal,true
SPADE,3,mvtec_ad,bottle,contamination,E:\rules\Rules\mvtec_anomaly_detection\bottle\test\contamination\007.png,abnormal,9.92867470,2.92882085,target_f1,abnormal,true
SPADE,4,mvtec_ad,cable,good,E:\rules\Rules\mvtec_anomaly_detection\cable\test\good\014.png,normal,5.61286449,5.61286449,target_f1,normal,true
SPADE,5,mvtec_ad,cable,bent_wire,E:\rules\Rules\mvtec_anomaly_detection\cable\test\bent_wire\002.png,abnormal,7.62194443,5.61286449,target_f1,abnormal,true
SPADE,6,mvtec_ad,cable,cable_swap,E:\rules\Rules\mvtec_anomaly_detection\cable\test\cable_swap\011.png,abnormal,7.24503231,5.61286449,target_f1,abnormal,true
SPADE,7,mvtec_ad,cable,combined,E:\rules\Rules\mvtec_anomaly_detection\cable\test\combined\001.png,abnormal,7.15176868,5.61286449,target_f1,abnormal,true
SPADE,8,mvtec_ad,cable,cut_inner_insulation,E:\rules\Rules\mvtec_anomaly_detection\cable\test\cut_inner_insulation\010.png,abnormal,7.45699024,5.61286449,target_f1,abnormal,true
SPADE,9,mvtec_ad,cable,cut_outer_insulation,E:\rules\Rules\mvtec_anomaly_detection\cable\test\cut_outer_insulation\008.png,abnormal,5.87386751,5.61286449,target_f1,abnormal,true
SPADE,10,mvtec_ad,cable,missing_cable,E:\rules\Rules\mvtec_anomaly_detection\cable\test\missing_cable\001.png,abnormal,6.16507435,5.61286449,target_f1,abnormal,true
SPADE,11,mvtec_ad,cable,missing_wire,E:\rules\Rules\mvtec_anomaly_detection\cable\test\missing_wire\009.png,abnormal,7.98805094,5.61286449,target_f1,abnormal,true
SPADE,12,mvtec_ad,cable,poke_insulation,E:\rules\Rules\mvtec_anomaly_detection\cable\test\poke_insulation\006.png,abnormal,6.83777094,5.61286449,target_f1,abnormal,true
SPADE,13,mvtec_ad,capsule,good,E:\rules\Rules\mvtec_anomaly_detection\capsule\test\good\001.png,normal,2.22994757,2.22994757,target_f1,normal,true
SPADE,14,mvtec_ad,capsule,crack,E:\rules\Rules\mvtec_anomaly_detection\capsule\test\crack\000.png,abnormal,2.64868212,2.22994757,target_f1,abnormal,true
SPADE,15,mvtec_ad,capsule,faulty_imprint,E:\rules\Rules\mvtec_anomaly_detection\capsule\test\faulty_imprint\002.png,abnormal,2.50662994,2.22994757,target_f1,abnormal,true
SPADE,16,mvtec_ad,capsule,poke,E:\rules\Rules\mvtec_anomaly_detection\capsule\test\poke\006.png,abnormal,2.59795713,2.22994757,target_f1,abnormal,true
SPADE,17,mvtec_ad,capsule,scratch,E:\rules\Rules\mvtec_anomaly_detection\capsule\test\scratch\007.png,abnormal,2.67953920,2.22994757,target_f1,abnormal,true
SPADE,18,mvtec_ad,capsule,squeeze,E:\rules\Rules\mvtec_anomaly_detection\capsule\test\squeeze\016.png,abnormal,5.38264608,2.22994757,target_f1,abnormal,true
SPADE,19,mvtec_ad,carpet,good,E:\rules\Rules\mvtec_anomaly_detection\carpet\test\good\019.png,normal,1.95937669,1.95937669,target_f1,normal,true
SPADE,20,mvtec_ad,carpet,color,E:\rules\Rules\mvtec_anomaly_detection\carpet\test\color\000.png,abnormal,6.06271076,1.95937669,target_f1,abnormal,true
SPADE,21,mvtec_ad,carpet,cut,E:\rules\Rules\mvtec_anomaly_detection\carpet\test\cut\006.png,abnormal,7.58786535,1.95937669,target_f1,abnormal,true
SPADE,22,mvtec_ad,carpet,hole,E:\rules\Rules\mvtec_anomaly_detection\carpet\test\hole\013.png,abnormal,4.61623907,1.95937669,target_f1,abnormal,true
SPADE,23,mvtec_ad,carpet,metal_contamination,E:\rules\Rules\mvtec_anomaly_detection\carpet\test\metal_contamination\007.png,abnormal,6.93390512,1.95937669,target_f1,abnormal,true
SPADE,24,mvtec_ad,carpet,thread,E:\rules\Rules\mvtec_anomaly_detection\carpet\test\thread\014.png,abnormal,2.64674258,1.95937669,target_f1,abnormal,true
SPADE,25,mvtec_ad,grid,good,E:\rules\Rules\mvtec_anomaly_detection\grid\test\good\018.png,normal,5.31473398,3.67918849,target_f1,abnormal,false
SPADE,26,mvtec_ad,grid,bent,E:\rules\Rules\mvtec_anomaly_detection\grid\test\bent\004.png,abnormal,3.67918849,3.67918849,target_f1,normal,false
SPADE,27,mvtec_ad,grid,broken,E:\rules\Rules\mvtec_anomaly_detection\grid\test\broken\000.png,abnormal,5.97493982,3.67918849,target_f1,abnormal,true
SPADE,28,mvtec_ad,grid,glue,E:\rules\Rules\mvtec_anomaly_detection\grid\test\glue\002.png,abnormal,3.68806839,3.67918849,target_f1,abnormal,true
SPADE,29,mvtec_ad,grid,metal_contamination,E:\rules\Rules\mvtec_anomaly_detection\grid\test\metal_contamination\006.png,abnormal,4.40667295,3.67918849,target_f1,abnormal,true
SPADE,30,mvtec_ad,grid,thread,E:\rules\Rules\mvtec_anomaly_detection\grid\test\thread\005.png,abnormal,6.26263332,3.67918849,target_f1,abnormal,true
SPADE,31,mvtec_ad,hazelnut,good,E:\rules\Rules\mvtec_anomaly_detection\hazelnut\test\good\017.png,normal,4.27360821,2.87721562,target_f1,abnormal,false
SPADE,32,mvtec_ad,hazelnut,crack,E:\rules\Rules\mvtec_anomaly_detection\hazelnut\test\crack\004.png,abnormal,4.21651793,2.87721562,target_f1,abnormal,true
SPADE,33,mvtec_ad,hazelnut,cut,E:\rules\Rules\mvtec_anomaly_detection\hazelnut\test\cut\006.png,abnormal,4.36290359,2.87721562,target_f1,abnormal,true
SPADE,34,mvtec_ad,hazelnut,hole,E:\rules\Rules\mvtec_anomaly_detection\hazelnut\test\hole\010.png,abnormal,5.24109745,2.87721562,target_f1,abnormal,true
SPADE,35,mvtec_ad,hazelnut,print,E:\rules\Rules\mvtec_anomaly_detection\hazelnut\test\print\003.png,abnormal,2.87721562,2.87721562,target_f1,normal,false
SPADE,36,mvtec_ad,leather,good,E:\rules\Rules\mvtec_anomaly_detection\leather\test\good\005.png,normal,2.33885884,2.33885884,target_f1,normal,true
SPADE,37,mvtec_ad,leather,color,E:\rules\Rules\mvtec_anomaly_detection\leather\test\color\012.png,abnormal,3.55323172,2.33885884,target_f1,abnormal,true
